rank,symptom,aggregate_importance,mean_importance,feature_count
1,Fever (Yes/No),0.31734846077912515,0.15867423038956258,2
2,Other Symptoms (Specify),0.028601068731625497,0.0014300534365812747,20
3,Headache (Yes/No),0.018967001914451706,0.009483500957225853,2
4,Vomiting (Yes/No),0.011914079704879395,0.005957039852439698,2
5,Fatigue (Yes/No),0.0011646155247101212,0.0005823077623550606,2
6,Anemia Signs (Yes/No),0.0009060411727213741,0.00045302058636068705,2
7,Chills (Yes/No),0.0005195239912437579,0.00025976199562187895,2
