rank,symptom,aggregate_importance,mean_importance,feature_count
1,Other Symptoms (Specify),0.0013386118099747992,6.693059049873996e-05,20
2,Fever (Yes/No),0.00116126486113165,0.000580632430565825,2
3,Headache (Yes/No),0.00024073800009864475,0.00012036900004932238,2
4,Vomiting (Yes/No),7.69572295397536e-05,3.84786147698768e-05,2
5,Anemia Signs (Yes/No),2.4665778698140794e-06,1.2332889349070397e-06,2
6,Chills (Yes/No),9.866311479478362e-07,4.933155739739181e-07,2
7,Fatigue (Yes/No),-4.933155739628156e-07,-2.466577869814078e-07,2
