model_name,stage,best_params,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_std,precision_ci_low,precision_ci_high,recall_mean,recall_std,recall_ci_low,recall_ci_high,specificity_mean,specificity_std,specificity_ci_low,specificity_ci_high,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci_low,balanced_accuracy_ci_high,training_time_seconds_mean,prediction_time_seconds_mean,search_time_seconds,best_cv_score
logistic_regression,after_optimization,"{'model__C': np.float64(0.04661686413912769), 'model__class_weight': None, 'model__l1_ratio': 1.0, 'model__solver': 'liblinear'}",0.9739363200901663,0.009607472719661664,0.9620070671004376,0.985865573079895,0.9635878489326766,0.031512444427751696,0.9244599811913404,1.0027157166740126,0.8827586206896552,0.051609067403778484,0.818677499713512,0.9468397416657983,0.9928365878725591,0.00641183742753105,0.9848752401764583,1.0007979355686598,0.8827586206896552,0.051609067403778484,0.818677499713512,0.9468397416657983,0.9825938264166991,0.013012775699340487,0.9664363313141272,0.998751321519271,0.9202902706053069,0.03127018365948617,0.8814632093381033,0.9591173318725105,0.9377976042811073,0.025515195035487968,0.9061163051983945,0.96947890336382,0.0053159082541242245,0.0008876411709934473,8.779756543925032,0.9825938264166991
decision_tree,after_optimization,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 10}",0.9762961397576781,0.006514377678002818,0.9682074715241998,0.9843848079911565,0.9163412021587772,0.0404526266398695,0.8661126320272727,0.9665697722902817,0.9517241379310345,0.027586206896551738,0.9174713379805858,0.9859769378814832,0.981387461459404,0.009731727006139194,0.9693039263955336,0.9934709965232744,0.9517241379310345,0.027586206896551738,0.9174713379805858,0.9859769378814832,0.9776232413084311,0.0027825972521439125,0.9741681904789433,0.981078292137919,0.9326975154109128,0.0174623697998935,0.9110151195070644,0.9543799113147613,0.9665557996952192,0.01161142021229337,0.9521383172495991,0.9809732821408393,0.00338923919480294,0.0004167181672528386,0.6830770350061357,0.9776232413084311
catboost,after_optimization,"{'depth': 3, 'iterations': 121, 'l2_leaf_reg': np.float64(1.0635967469774568), 'learning_rate': np.float64(0.01668810326201057)}",0.975105663567202,0.0058753504204582035,0.9678104524732877,0.9824008746611163,0.9038608554960057,0.030575616741307442,0.8658962129654479,0.9418254980265635,0.9586206896551724,0.013793103448275891,0.9414942896799481,0.9757470896303968,0.9785200411099693,0.007918539364381161,0.9686878758628579,0.9883522063570807,0.9586206896551724,0.013793103448275891,0.9414942896799481,0.9757470896303968,0.9838090512811426,0.012805028751852621,0.9679095080840031,0.9997085944782821,0.9300158996499563,0.01487930396434775,0.9115408035990952,0.9484909957008175,0.9685703653825708,0.006199233991804083,0.9608729997185067,0.9762677310466349,0.10170485761482269,0.0008508901810273528,15.162376043037511,0.9838090512811426
