rank,model_name,rank_score,roc_auc_mean,recall_mean,f1_mean,balanced_accuracy_mean,accuracy_mean,precision_mean,specificity_mean,sensitivity_mean,training_time_seconds_mean,prediction_time_seconds_mean,model_size_mb,memory_usage_mb
1,logistic_regression,0.9425344677243016,0.9696062657263352,0.9172413793103449,0.9012420253573448,0.9464675550200233,0.9656522964215272,0.8873717711036955,0.9756937307297019,0.9172413793103449,0.01278635358903557,0.0006778003880754113,0.0057,0.0723
2,decision_tree,0.9380902065816917,0.9480141404118084,0.9103448275862067,0.9199462606359159,0.9480141404118086,0.9727387996618766,0.93150762639083,0.9856834532374101,0.9103448275862067,0.005802300805225968,0.0002749444218352437,0.0093,0.0208
3,catboost,0.9210413116322882,0.9805939681752134,0.9448275862068967,0.928868865690205,0.9631075238331501,0.9751127078050155,0.914904420549582,0.981387461459404,0.9448275862068967,0.16366625938098878,0.0014152206247672438,0.0721,0.0027
4,gradient_boosting,0.9084722156694316,0.9813298720629409,0.9103448275862069,0.9161661215184855,0.9472998546975226,0.9715624119470274,0.9243809523809524,0.9842548818088387,0.9103448275862069,0.16339229424484075,0.000860251602716744,0.1345,0.0229
5,support_vector_machine,0.8941249935624372,0.9759290498635573,0.8551724137931036,0.8473660537535652,0.9104279335152569,0.9467032967032967,0.841393242772553,0.96568345323741,0.8551724137931036,0.09668773661833256,0.009187495801597834,0.1613,0.0723
6,extra_trees,0.8662193388334916,0.9873455718184074,0.8965517241379309,0.9182558067631407,0.942541021370096,0.97274584389969,0.9444497354497354,0.9885303186022611,0.8965517241379309,0.3206150972051546,0.03835987017955631,3.8207,0.1647
7,random_forest,0.8631760388272617,0.9866068327603926,0.9379310344827587,0.9288375299970104,0.9603683949392211,0.975105663567202,0.9218297921746197,0.9828057553956835,0.9379310344827587,0.3881112698232755,0.04121421982999891,2.1092,0.1636
8,mlp,0.7833651899008922,0.9646479072899317,0.6482758620689655,0.7412413498000678,0.8169745189070419,0.9277542969850663,0.920816048742546,0.9856731757451183,0.6482758620689655,0.19429984800517558,0.0009448856115341186,0.1662,0.0994
