model_name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,training_time_seconds_mean,training_time_seconds_std,prediction_time_seconds_mean,prediction_time_seconds_std,model_size_mb,memory_usage_mb
logistic_regression,0.9656522964215272,0.0078118787043847575,0.8873717711036955,0.022803416856166964,0.9172413793103449,0.04677468953879496,0.9756937307297019,0.005678349369524514,0.9172413793103449,0.04677468953879496,0.9696062657263352,0.012911186071605065,0.9012420253573448,0.02496934953850396,0.9464675550200233,0.022595399407167597,0.01278635358903557,0.006156226604629229,0.0006778003880754113,0.0002545794964852438,0.0057,0.0723
decision_tree,0.9727387996618766,0.008895843271280308,0.93150762639083,0.039837007624508994,0.9103448275862067,0.0351656518178813,0.9856834532374101,0.009059631316069775,0.9103448275862067,0.0351656518178813,0.9480141404118084,0.01747160818984698,0.9199462606359159,0.025353911399654858,0.9480141404118086,0.017471608189846978,0.005802300805225968,0.0014414827349103626,0.0002749444218352437,6.834008427653597e-05,0.0093,0.0208
random_forest,0.975105663567202,0.01210622308937957,0.9218297921746197,0.05278555741069663,0.9379310344827587,0.03378606541769902,0.9828057553956835,0.012530813247392546,0.9379310344827587,0.03378606541769902,0.9866068327603926,0.007741928201494115,0.9288375299970104,0.033470392218040636,0.9603683949392211,0.01826946355094838,0.3881112698232755,0.03519275980886544,0.04121421982999891,0.0046645803993291225,2.1092,0.1636
extra_trees,0.97274584389969,0.010982515727145429,0.9444497354497354,0.0429955645585509,0.8965517241379309,0.05770069148510865,0.9885303186022611,0.00976185411670552,0.8965517241379309,0.05770069148510865,0.9873455718184074,0.008768688793707447,0.9182558067631407,0.03493783827368266,0.942541021370096,0.02794381304787179,0.3206150972051546,0.0313320612497497,0.03835987017955631,0.0019117595788565676,3.8207,0.1647
gradient_boosting,0.9715624119470274,0.005805221302219054,0.9243809523809524,0.02260656297057124,0.9103448275862069,0.04677468953879496,0.9842548818088387,0.005378438649110255,0.9103448275862069,0.04677468953879496,0.9813298720629409,0.013558107897731313,0.9161661215184855,0.019229721439245208,0.9472998546975226,0.0215687479595357,0.16339229424484075,0.00490950601140236,0.000860251602716744,0.0002512958929092657,0.1345,0.0229
support_vector_machine,0.9467032967032967,0.016691579765916332,0.841393242772553,0.06188887900019142,0.8551724137931036,0.03378606541769902,0.96568345323741,0.01588307879274851,0.8551724137931036,0.03378606541769902,0.9759290498635573,0.010021038211539044,0.8473660537535652,0.04339489780146732,0.9104279335152569,0.021814754330630133,0.09668773661833256,0.02558580066042143,0.009187495801597834,0.001854568885259827,0.1613,0.0723
mlp,0.9277542969850663,0.02022280815148025,0.920816048742546,0.05433042601999163,0.6482758620689655,0.1736507353381265,0.9856731757451183,0.012001602956399059,0.6482758620689655,0.1736507353381265,0.9646479072899317,0.020873678528905475,0.7412413498000678,0.10460220777105296,0.8169745189070419,0.08099634163685737,0.19429984800517558,0.02824935833039274,0.0009448856115341186,0.000249239370370211,0.1662,0.0994
catboost,0.9751127078050155,0.004466046773739097,0.914904420549582,0.030331972846670663,0.9448275862068967,0.027586206896551745,0.981387461459404,0.0073409933926824,0.9448275862068967,0.027586206896551745,0.9805939681752134,0.01326426324110247,0.928868865690205,0.012117971697749039,0.9631075238331501,0.011590144776843806,0.16366625938098878,0.0519202179869412,0.0014152206247672438,0.0010702846890983187,0.0721,0.0027
